link,title,Description,Category
qFkNATtc3,"Ghungroo Song | War | Hrithik Roshan, Vaani Kapoor | Vishal & Shekhar |ft| Arijit Singh | Shilpa Rao","#YRFnewreleases - https://www.youtube.com/playlist?list...

► Subscribe Now: https://goo.gl/xs3mrY 🔔 Stay updated!

With Hrithik Roshan & Vaani Kapoor on the dance floor, sparks will fly and how! Here’s the Ghungroo Song from the film ‘War’.

🎧 Song Credits:
Song: Ghungroo
Singers: Arijit Singh, Shilpa Rao
Music: Vishal and Shekhar
Lyrics: Kumaar
Recording Studio: Vishal and Shekhar Studio, Voices Recorded by: Abhay Rumde (Purple Haze Studio)
Mixed By: Vijay Dayal (YRF Studios)
Mastered By: Donal Whelan (Mastering World, Wales - UK)

Additional Music Credits:
Guitar: Warren Mendonsa
Song Programming: Abhijit Nalani

Choreography: Bosco - Caesar, Tushar Kalia

🎧 Song Lyrics:
In The Sun And Sand And The Sea In The Night
And I Am Feeling Alright And I Am Feeling Alright

Kyun Lamhe Kharaab Karein
Aa Galti Behisaab Karein
Do Pal Ki Jo Neend Udi
Aa Poore Saare Khwaab Karein
Kya Karne Hain Umron Ke Vaade
Yeh Jo Rehte Hain Rehne De Aadhe

Do Baar Nahin
Ik Baar Sahi
Ik Raat Ki Karle Tu Yaari
Subah Tak Maan Ke Meri Baat
Tu Aise Zor Se Naachi Aaj
Ke Ghungroo Toot Gaye
Ke Ghungroo Toot Gaye

Chhod Ke Saari Sharm Aur Laaj
Main Aise Zor Se Naachi Aaj
Ke Ghungroo Toot Gaye
Ke Ghungroo Toot Gaye

Kya Karne Hain Umron Ke Vaade
Yeh Jo Rehte Hain Rehne De Aadhe
Do Baar Nahin
Ik Baar Sahi
Ik Raat Ki Karle Tu Yaari
Subah tak thaam ke tera haath
Main Aise Zor Se Naachi Aaj
Ke Ghungroo Toot Gaye
Ke Ghungroo Toot Gaye

Stay in the filmy loop:
► Like us on Facebook: Facebook/yrf 
► Follow us on Twitter: Twitter/yrf
► Follow us on Instagram: Instagram/yrf
► Visit us on: yashrajfilms.com

🎬 Movie Credits:
Starring: Hrithik Roshan, Tiger Shroff, Vaani Kapoor
Director: Siddharth Anand
Producer: Aditya Chopra
Music: Vishal and Shekhar
Lyrics: Kumaar
Director of Photography: Benjamin Jasper
Release Date: 2 October 2019

Watch all videos from the film ‘War’: ",Songs
RKioDWlaj,Lehanga : Jass Manak (Official Video) Satti Dhillon | Latest Punjabi Songs | GK DIGITAL | Geet MP3,"Geet MP3 & Gk.Digital Presenting Official Music Video Of Most Awaited Song ""Lehnga"" By Jass Manak
Make Sure You Will Like It And Spread it As Much As You Can. 


Subscribe To Our Channel For Upcoming Songs :  ",Songs
l75z7FrYRXI,"Full Song: Muqabla | Street Dancer 3D |A.R. Rahman, Prabhudeva, Varun D, Shraddha K, Tanishk B","Presenting the video song ""Muqabla"" from the bollywood movie StreetDancer3D, The movie features Varun Dhawan, Shraddha Kapoor, Nora Fatehi, and Prabhu Deva in lead roles and directed by Remo D'Souza, produced by Bhushan Kumar, Divya Khosla Kumar, Krishan Kumar & Lizelle D’Souza. Witness the king of dance, Prabhudeva back with Muqabla in the voice of Yash Narvekar, and Parampara Thakur, penned and composed by Tanishk Bagchi.

Gulshan Kumar And T-Series Present A T-Series Films Production In Association With Remo D’Souza Entertainment Pvt. Ltd. & Dance Film Company Ltd. Uk, Bhushan Kumar’s Street Dancer 3D.
 ",Songs
IE8OD5FbU-,"Full Song: Garmi | Street Dancer 3D | Varun D, Nora F, Badshah, Neha K | Remo D","Presenting the full video for the song Garmi from the movie Street Dancer 3D.  This foot-tapping soundtrack is sung by Neha Kakkar, Badshah, composed & penned by Badshah. The movie features Varun Dhawan, Shraddha Kapoor, Nora Fatehi, and Prabhu Deva in lead roles and directed by Remo D'Souza, produced by Bhushan Kumar, Divya Khosla Kumar, Krishan Kumar & Lizelle D’Souza.
Gulshan Kumar And T-Series Present A T-Series Films Production In Association With Remo D’Souza Entertainment Pvt. Ltd. & Dance Film Company Ltd. Uk, Bhushan Kumar’s Street Dancer 3D.
 ",Songs
_uUdJalMaF8,"Full Song: O SAKI SAKI | Batla House | Nora Fatehi, Tanishk B,Neha K,Tulsi K, B Praak,Vishal-Shekhar","Presenting the hottest dance anthem of 2019 ""O SAKI SAKI"" full video  from the movie Batla House, with the sizzling performance by Nora Fatehi. The song is sung by Tulsi Kumar, Neha Kakkar, B Praak. The track is recreated and written by Tanishk Bagchi. The song is originally composed by Vishal- Shekhar. 

T-series and Emmay Entertainment in association with JA Entertainment and Bake My Cake Films, present the real story behind the Batla House encounter that took place on 18th September 2008",Songs
TRa9IMvccjg,DILBAR Full Song | Satyameva Jayate | John Abraham Nora Fatehi | Tanishk B Neha Kakkar Ikka Dhvani,"Presenting the full video song 'Dilbar"" sung by Neha Kakkar, Dhvani Bhanushali, Ikka, music given by Tanishk Bagchi and lyrics are penned by Shabbir Ahmed, Ikka of the upcoming Bollywood film of 2018 ""Satyameva Jayate"", Written & Directed by Milap Milan Zaveri. Produced by  Bhushan Kumar, Krishan Kumar, Nikkhil Advani (Emmay Entertainment), Monisha Advani & Madhu Bhojwani. The movie features John Abraham & Manoj Bajpayee, Amruta Khanvilkar and Aisha Sharma in lead roles.

The Movie Is Releasing on► 15 August 2018

♪ Available on ♪
iTunes : ",Songs
-u1YYyR,Aksar Is Duniya Mein -HD VIDEO SONG | Suniel Shetty & Mahima Choudhary | Dhadkan | Bollywood Song,"Aksar Is Duniya Mein - HD VIDEO SONG | Akshay Kumar, Shilpa Shetty, Suniel Shetty & Mahima Choudhary | Dhadkan | Hindi Bollywood Song | Singer : Alka Yagnik 

For Top Most Viewed Songs : ",Songs
zuaLWHiRXkg,Hook Up Song - Student Of The Year 2 | Tiger Shroff & Alia | Vishal and Shekhar |Neha Kakkar|Kumaar,"👉🏻 SUBSCRIBE to Zee Music Company - https://bit.ly/2yPcBkS

To stream & download Full Song
Zee5 - ",Songs
6lHUn20J5g,Deewani Mastani Full Video Song | Bajirao Mastani,"Subscribe Now for More Exclusive Videos! https://www.youtube.com/erosnow

Play Free Music back to back only on Eros Now - https://goo.gl/BEX4zD",Songs
05TA9jNnCdU,"Jagga Jasoos: Galti Se Mistake Video Song | Ranbir, Katrina | Pritam, Arijit, Amit | Amitabh B","Arijit Singh & Amit Mishra - Galti Se Mistake Song | Jagga Jasoos

Presenting the second video song ""Galti Se Mistake"" from the most awaited Bollywood movie this year JaggaJasoos.
The film, Jagga Jasoos releases on the 14th of July 2017. 

Get it on iTunes - ",Songs
x6Q7c9RyMzk,"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan","Unleashing the Video Song of #RowdyBaby from #Maari2. Maari 2 stars Dhanush, Sai Pallavi, Krishna, Varalakshmi Sarathkumar & Tovino Thomas in lead roles; Music Composed by Yuvan Shankar Raja & Directed by Balaji Mohan.

Track Credits
Track: Rowdy Baby
Singers: Dhanush & Dhee
Lyrics: Poetu Dhanush
Music: Yuvan Shankar Raja",Songs
RpeEdMmmQ0,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),"Shakira's official music video for 'Waka Waka (This Time For Africa)'. Click to listen to Shakira on Spotify: http://smarturl.it/ShakiraSpot?IQid=S...

As featured on Waka Waka (This Time For Africa) - Single. Click to buy the track or album via iTunes: ",Songs
fE8lezHs19,Healthy Food Vs Junk Food Song!,"► Download my interactive storybook for Android or iOS! https://share.graphyapp.co/adam-says

7+ Hours of exclusive interactive learning videos, games, songs, stories and more with my 'Adam Says' Graphy! Just download the GRAPHY App to access my learning video-audio storybook. Perfect for babies, toddlers, and children who are learning to speak English!

A food song for kids! Do you like broccoli? Do you like chocolate? Teach and learn food names, and the difference between healthy food and junk food! Great for children, babies, toddlers, ESL students, and adults, too! :) Who wins in the battle of the foods!? Learn the words: broccoli, salad, fish, eggs, nuts, yogurt, fruit, cheese, rice, beans, water, chocolate bars, apple pie, chips, cookies, fudge, soda, fries, hot dog, churros, candy, pizza, cheese, fast food.

*****

Other Places To Watch:
► AMAZON VIDEO
Are you an Amazon Prime member? Watch English Tree TV videos ad-free on Amazon Prime Video. Just search for “English Tree TV” 
► KIDOODLE.TV - ",Songs
Q3oItpVa9f,CYMATICS: Science Vs. Music - Nigel Stanford,"► NEW VIDEO Automatica: http://nigelstanford.com/y/Cytext-Aut...
► Album, Apple Music, CDs & 4k Video: http://nigelstanford.com/y/Cytext-Cym...
► Spotify: http://NigelStanford.com/y/Spotify",Songs
76Wygb_Aqz0,Road Trip 🚐 - An Indie/Pop/Folk/Rock Playlist | Vol. 1,"Hit the road with this collection of indie tracks perfect for travelling the world!
Listen to it on Spotify here: https://open.spotify.com/user/alxrnbr...
» Subscribe to be the first to hear the best new independent music! http://bit.ly/145fFnx",Songs
JGBVigwPlU,Moto (Official Video)| Ajay Hooda | Diler Kharkiya | Anjali Raghav | Latest Haryanvi Song 2020,"Contact For Live Show 7900002009

Moto (Official Video)| Ajay Hooda | Diler Kharkiya | Anjali Raghav | Latest Haryanvi Song 2020

Like Us On Facebook : ",Songs
8pTL-5K1iz,"Kya Khoob Lagti Ho | Mukesh, Kanchan | Dharmatma 1975 Songs | Hema Malini, Feroz Khan","Presenting KYA KHOOB LAGTI HO FULL VIDEO SONG from DHARMATMA movie starring Feroz Khan, Hema Malini, Prem Nath, Rekha & Danny Denzongpa in lead roles, released on April 30, 1975. The song is sung by Mukesh, Kumari Kanchan Dinkerao Mail and music is given by Kalyanji Anandji, music is available exclusively on Gaane Sune Ansune.

Song : KYA KHOOB LAGTI HO
Singers: MUKESH, KUMARI KANCHAN DINKERAO MAIL
Music Director : KALYANJI ANANDJI
Lyrics : INDEEVAR

Kalyanji Anandji had composed all the songs of Dharmatma. This was their second collaboration with Feroz Khan after Apradh. The music of the film had a fusion of Afghani Music and Western Music. The songs of the film became superhits.",Songs
-FjMMC9mGHk,Gedi Rules (Official Video) | Akay | Pendu Boyz | Jerry |Latest Punjabi Songs 2020|New Punjabi Songs,"Gringo Entertainments presents the most awaited song Gedi Rules sung by Akay .The music of this song is given by Pendu Boyz and the song is penned by Jerry. A song that is guaranteed to get you grooving.

♫ Full Song Available On ♫
itunes : ",Songs
Rphtsj1obg,Himanshi Khurana (Full Song) Distance | Bunty Bains | Desi Crew | Latest Punjabi Songs 2020,"Presenting latest punjabi song Distance sung by Himanshi Khurana. The music of new song is given by Desi Crew while lyrics are penned by Bunty Bains. Enjoy and stay connected with us !!

JioSaavn: ",Songs
ZTBwxy4wsBQ,"B Praak: Dil Tod Ke Official Song | Rochak Kohli , Manoj M |Abhishek S, Kaashish V | Bhushan Kumar","Gulshan Kumar and T-Series presents Bhushan Kumar's ""Dil Tod Ke"". This new romantic song features Abhishek Singh, Kaashish Vohra & Jubin Shah and is sung by Rochak Kohli Feat. B Praak. The music is composed by Rochak Kohli and lyrics are penned by Manoj Muntashir. The video is directed by Ashish Panda.
---------------------------------------------------------------- 
Connect with T-SERIES: 👉 ",Songs
D0RguqZiTE,Jatta Ve Jatta (Lyrical Video) Param Sidhu | New punjabi songs 2020 | Latest Punjabi Songs 2020,"Turn Music Presents: New Punjabi Song ""Jatta ve Jatta"" Lyrical Video by Turn Music's Official Artist ""Param Sidhu"". 
Fame ""Blackia e Tera Yaar Ni"" 

Listen on Audio Stores:
itunes: ",Songs
fIip0BH6z7I,Ek Tarfa - Darshan Raval | Official Music Video | Romantic Song 2020 | Indie Music Label,"True love is never about possession. Unrequited love is definitely killing yourself without dying. Most of us have gone through this despair some time in life. Darshan Raval lives this experience with his latest single “ EK Tarfa”

An E Positive Entertainment Production

Subscribe to Indie Music Channel: ",Songs
Yqi2_3E1ZNk,Auzaar - Satinder Sartaaj | Official Video | New Punjabi Songs 2020 | Saga Music,"Check out official video of Satinder Sartaaj's new song Auzaar (An approach towards existence) ਔਜ਼ਾਰ اوزار 

Bande de hathan varga koi auzaar ni baneya
Ehna kuchh ban geya lekin kudrat ton paar ni baneya 🙏

Credits:

AUZAAR (An approach towards existence) ਔਜ਼ਾਰ اوزار
Singer, Lyricist & Composer: Satinder Sartaaj
Music: Beat Minister
Directed By: Sandeep Sharma (instagram: sandeep_director)
Produced By: Sumeet Singh
Vocals Recorded At: Nazm-Gaah
Mixed And Mastered By: Shaitus Joseph
DOP: Honey Cam
Edit & Grading: Gobindpuriya
Label: Saga Music
Digital Partner: Unisys


Musical Instruments:

Guitars: Noah Abram
Qamancha: Rasa-Lila Buniatyan
Santoor: Toshin Des Raj
Dholak, Tabla, Matka And Duff: Juggy Rihal
Irish Flutes: Ainsley
Tumbi And Bukchu: Jelly Manjitpuri
Sarangi: Harpinder Kang
Pluck: Chandrakant Lakshpati
Percussions And Wood Sticks: Kareem Ahmed

Follow us on:

Facebook: ",Songs
Kj8QvzhNv6U,I am a rider full song,I am right now go fight now full song with incredible video have more fun with this video create for something is fisher you are not the man want to do,Songs
ZBDSNy4Yn9Q,Mind Block Full Video Song | Sarileru Neekevvaru Video Songs [4K] | Mahesh Babu | Rashmika | DSP,"Watch #MindBlock Full Video Song from Sarileru Neekevvaru Latest Telugu Movie. 

Super Star Mahesh Babu Video Songs, Rashmika Mandanna Video Songs

Starring Superstar ",Songs
WmxTm6URBf,Top Songs 2020 🍑 Top 40 Popular Songs Collection 2020 🍑 Best english Music Playlist 2020,"Top Songs 2020 🍑 Top 40 Popular Songs Collection 2020 🍑 Best english Music Playlist 2020
.................................................................................................................................

Best Popular Songs Collection 2020:
Ariana Grande Best Songs 2020: ",Songs
JLrVItTfIG0,Palko Ko Chum Gayi (HD) | Priyatama (1977) Song | Jeetendra | Neetu Singh Hit Song,"""Song: Palko Ko Chum Gayi Purwa Hawa
Movie: Priyatama (1977)
Starcast:  Jeetendra, Neetu Singh, Rakesh Roshan, Asha Sachdev
Music Director: Rajesh Roshan
Singer: Asha Bhosle
Lyrics: Anjaan

SUBSCRIBE now to FilmiGaane: ",Songs
ALZHF5UqnU4,Marshmello - Alone (Official Music Video),"NEW Mello™️ by Marshmello gear SHOP NOW ▶ https://mellogang.com/collections/new...

Download Alone here ▶ http://smarturl.it/melloAlone 

A lot of people ask me where Alone and its lyrics comes from. Truth is, I had just moved away from my friends and family and I started to feel very home sick and lonely like I didn’t belong in my new settings. Everything was just happening so fast and I couldn’t really grasp where I was or who I was but all i knew was that I felt Alone. With the music video, we really wanted to send a message. Nobody knows how you feel, whether you’re homesick, away from friends and family, or if you simply aren’t like everyone else…its ok. The whole purpose of the Marshmello project and the Mellogang is to bring together people from every corner of the world and create a family…a family that we can all count on to never let us feel Alone. I hope you guys enjoy this video as much as I do. It gives me the feels for sure.

SUBSCRIBE HERE for more of the best music ▶ ",Songs
Sc7Mv0QHY,J.Geco - Chicken Song,"🎮 https://youtu.be/8S9z09_ZaEQ TECHNO CHICKEN SIMULATOR 2020?

🥚 CLUB CHICKEN (Episode 1)  https://youtu.be/a34xtL1PeOo",Songs
9cfyLNH2SGk,Hosh (Official HD Video) Nikk | Mahira Sharma | RoxA | Latest Punjabi Songs 2020 | New Punjabi Song,"Hosh (Official HD Video) Nikk | Mahira Sharma | RoxA | Latest Punjabi Songs 2020 | New Punjabi Song 2020


Nikk’s HOSH A True Love Story 
We’are thankful to you guyz for the love Till now 
We do our best to entertain you guyz & build our relation 
more loveable  


♪ Full Song Available on ♪
Gaana Link : ",Songs
